2014/11/18,9658
2014/11/19,9613
2014/11/20,9681
2014/11/21,9782
2014/11/25,9757
2014/11/26,9645
2014/11/27,9585
2014/11/28,9642
2014/12/01,9219
2014/12/02,9314
2014/12/03,9162
2014/12/04,9150
2014/12/05,9104
2014/12/08,9171
2014/12/09,8908
2014/12/10,8859
2014/12/11,8555
2014/12/12,8543
2014/12/15,8406
2014/12/16,8182
2014/12/17,8082
2014/12/18,8252
2014/12/19,8201
2014/12/22,8453
2014/12/24,8414
2014/12/25,8220
2014/12/26,8225
2014/12/29,8214
2014/12/30,8096
2015/01/05,7932
2015/01/06,7648
2015/01/07,7491
2015/01/08,7507
2015/01/09,7558
2015/01/13,7161
2015/01/14,7085
2015/01/15,7221
2015/01/16,7016
2015/01/19,7230
2015/01/20,7261
2015/01/21,7130
2015/01/22,7151
2015/01/23,7135
2015/01/26,7018
2015/01/27,7042
2015/01/28,7071
2015/01/29,6958
2015/01/30,6986
2015/02/02,7190
2015/02/03,7330
2015/02/04,7615
2015/02/05,7328
2015/02/06,7482
2015/02/09,7670
2015/02/10,7713
2015/02/12,7574
2015/02/13,7669
2015/02/16,7795
2015/02/17,7779
2015/02/18,7853
2015/02/19,7689
2015/02/20,7706
2015/02/23,7657
2015/02/24,7544
2015/02/25,7519
2015/02/26,7714
2015/02/27,7644
2015/03/02,7758
2015/03/03,7677
2015/03/04,7705
2015/03/05,7734
2015/03/06,7701
2015/03/09,7652
2015/03/10,7668
2015/03/11,7522
2015/03/12,7563
2015/03/13,7480
2015/03/16,7278
2015/03/17,7239
2015/03/18,7159
2015/03/19,7330
2015/03/20,7220
2015/03/23,7264
2015/03/24,7362
2015/03/25,7307
2015/03/26,7354
2015/03/27,7505
2015/03/30,7288
2015/03/31,7362
2015/04/01,7262
2015/04/02,7405
2015/04/03,7356
2015/04/06,7316
2015/04/07,7512
2015/04/08,7653
2015/04/09,7418
2015/04/10,7426
2015/04/13,7500
2015/04/14,7475
2015/04/15,7539
2015/04/16,7712
2015/04/17,7802
2015/04/20,7755
2015/04/21,7743
2015/04/22,7679
2015/04/23,7710
2015/04/24,7833
2015/04/27,7804
2015/04/28,7786
2015/04/30,7887
2015/05/01,8028
2015/05/07,8090
2015/05/08,7954
2015/05/11,8006
2015/05/12,7986
2015/05/13,8082
2015/05/14,8033
2015/05/15,8063
2015/05/18,8091
2015/05/19,8052
2015/05/20,7937
2015/05/21,7974
2015/05/22,8124
2015/05/25,8057
2015/05/26,8060
2015/05/27,7973
2015/05/28,7905
2015/05/29,7958
2015/06/01,8140
2015/06/02,8182
2015/06/03,8238
2015/06/04,8096
2015/06/05,7997
2015/06/08,8113
2015/06/09,8035
2015/06/10,8188
2015/06/11,8181
2015/06/12,8134
2015/06/15,8044
2015/06/16,7975
2015/06/17,8006
2015/06/18,8006
2015/06/19,7986
2015/06/22,7870
2015/06/23,7943
2015/06/24,8088
2015/06/25,8002
2015/06/26,7960
2015/06/29,7958
2015/06/30,7849
2015/07/01,8008
2015/07/02,7930
2015/07/03,7899
2015/07/06,7867
2015/07/07,7548
2015/07/08,7510
2015/07/09,7375
2015/07/10,7534
2015/07/13,7590
2015/07/14,7621
2015/07/15,7617
2015/07/16,7520
2015/07/17,7514
2015/07/21,7400
2015/07/22,7399
2015/07/23,7293
2015/07/24,7228
2015/07/27,7136
2015/07/28,6956
2015/07/29,7044
2015/07/30,7116
2015/07/31,7090
2015/08/03,6972
2015/08/04,6820
2015/08/05,6888
2015/08/06,6876
2015/08/07,6847
2015/08/10,6777
2015/08/11,6941
2015/08/12,6865
2015/08/13,6817
2015/08/14,6768
2015/08/17,6724
2015/08/18,6703
2015/08/19,6684
2015/08/20,6521
2015/08/21,6489
2015/08/24,6300
2015/08/25,5958
2015/08/26,5985
2015/08/27,6030
2015/08/28,6366
2015/08/31,6594
2015/09/01,6824
2015/09/02,6476
2015/09/03,6585
2015/09/04,6594
2015/09/07,6460
2015/09/08,6478
2015/09/09,6544
2015/09/10,6422
2015/09/11,6538
2015/09/14,6492
2015/09/15,6408
2015/09/16,6413
2015/09/17,6555
2015/09/18,6472
2015/09/24,6338
2015/09/25,6382
2015/09/28,6425
2015/09/29,6289
2015/09/30,6346
2015/10/01,6357
2015/10/02,6320
2015/10/05,6355
2015/10/06,6465
2015/10/07,6645
2015/10/08,6593
2015/10/09,6675
2015/10/13,6514
2015/10/14,6424
2015/10/15,6401
2015/10/16,6406
2015/10/19,6425
2015/10/20,6324
2015/10/21,6351
2015/10/22,6293
2015/10/23,6372
2015/10/26,6322
2015/10/27,6247
2015/10/28,6182
2015/10/29,6370
2015/10/30,6346
2015/11/02,6391
2015/11/04,6510
2015/11/05,6399
2015/11/06,6326
2015/11/09,6361
2015/11/10,6283
2015/11/11,6252
2015/11/12,6178
2015/11/13,6058
2015/11/16,5980
2015/11/17,6047
2015/11/18,5959
2015/11/19,5991
2015/11/20,5962
